# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	8422
#@/user_id	2488dab6-35e1-46fa-a642-3badcfe375a3
bu neng ren shou 	不能忍受	c=0 d=1.06018e-12 t=8422
bu quan 	不全	c=1 d=0.00557201 t=8422
bu ran 	不然	c=0 d=1.15145e-13 t=8422
bu ran cai se 	不然彩色	c=1 d=1.15722e-12 t=8422
bu shao 	不少	c=1 d=0.680451 t=8422
bu shi 	不是	c=7 d=0.20089 t=8422
bu shi te bie 	不是特別	c=1 d=1.52352e-12 t=8422
bu shu 	部署	c=1 d=4.41797e-08 t=8422
bu tong 	不同	c=5 d=0.32536 t=8422
bu tong ling yu 	不同領域	c=1 d=5.93692e-14 t=8422
bu wan 	不玩	c=1 d=2.06719e-14 t=8422
bu wang 	不忘	c=1 d=4.88706e-15 t=8422
bu wang chu xin 	不忘初心	c=1 d=5.89307e-15 t=8422
bu wen ding 	不穩定	c=1 d=0.386741 t=8422
bu xiang 	不想	c=0 d=3.41763e-18 t=8422
bu xiang xie 	不想寫	c=1 d=3.43476e-17 t=8422
bu xiao 	不小	c=0 d=1.35847e-17 t=8422
bu xiao de 	不曉得	c=1 d=1.08178e-13 t=8422
bu xing 	不幸	c=1 d=1.71333e-11 t=8422
bu yao yong 	不要用	c=1 d=0.444858 t=8422
bu ying xiang 	不影響	c=1 d=0.0448245 t=8422
bu yong 	不用	c=1 d=1.47137e-14 t=8422
bu zhi chi 	不支持	c=1 d=9.78833e-14 t=8422
bu zhi de 	不值得	c=1 d=0.121846 t=8422
bu zhou 	步驟	c=3 d=0.000692848 t=8422
bu zu 	不足	c=1 d=0.0902357 t=8422
bu zun zhong 	不尊重	c=3 d=0.756305 t=8422
cai gang 	纔剛	c=0 d=7.32425e-15 t=8422
cai ji 	採集	c=0 d=7.56041e-06 t=8422
cai jing 	財經	c=2 d=0.0287163 t=8422
cai neng 	才能	c=1 d=0.217711 t=8422
cai neng shi yong 	才能使用	c=1 d=9.61444e-09 t=8422
cai neng song kai shou 	才能鬆開手	c=1 d=0.0655462 t=8422
cai se 	彩色	c=0 d=1.15145e-13 t=8422
cai si 	蔡司	c=1 d=2.28896e-07 t=8422
cai yang 	採樣	c=2 d=0.015435 t=8422
cai yong 	採用	c=13 d=0.105896 t=8422
cai yong bu tong 	採用不同	c=1 d=0.000232877 t=8422
cai yong de shi yan 	採用的實驗	c=1 d=8.14925e-05 t=8422
cai yong le 	採用了	c=1 d=1.99473e-06 t=8422
cai yong zhe zhong 	採用這種	c=1 d=0.000135709 t=8422
cai zhi 	材質	c=1 d=3.57372e-13 t=8422
can jian 	參見	c=1 d=2.94769e-12 t=8422
can kao 	參考	c=1 d=0.000249763 t=8422
can shu 	參數	c=6 d=0.291913 t=8422
can shu jian yan 	參數檢驗	c=1 d=7.91379e-13 t=8422
can shu mo xing 	參數模型	c=1 d=0.12307 t=8422
can yu 	參與	c=1 d=7.83771e-17 t=8422
cao gao 	草稿	c=1 d=2.57544e-12 t=8422
cao liu 	草榴	c=1 d=5.68554e-05 t=8422
cao zuo 	操作	c=4 d=1.10862 t=8422
cao zuo xi tong 	操作系統	c=1 d=1.54949e-05 t=8422
ce 	測	c=1 d=0.137381 t=8422
ce lve 	策略	c=1 d=6.56132e-14 t=8422
ce shi 	測試	c=24 d=0.0141474 t=8422
ce shi ping lun 	測試評論	c=1 d=2.64064e-12 t=8422
ce shi yang ben 	測試樣本	c=1 d=1.2254e-09 t=8422
ceng 	曾	c=1 d=0.634448 t=8422
ceng ci 	層次	c=1 d=9.79e-16 t=8422
ceng ci de 	層次的	c=1 d=3.37489e-16 t=8422
ceng jing 	曾經	c=1 d=3.2092e-12 t=8422
ceng mian 	層面	c=0 d=1.42347e-08 t=8422
cha 	查	c=2 d=3.20302e-10 t=8422
cha bu duo 	差不多	c=2 d=0.000699601 t=8422
cha chong 	查重	c=1 d=0.318224 t=8422
cha jian 	插件	c=2 d=5.40825e-05 t=8422
cha xun 	查詢	c=8 d=0.738474 t=8422
cha xun mo xing 	查詢模型	c=1 d=7.97404e-14 t=8422
cha yi 	差異	c=0 d=2.55747e-14 t=8422
cha yue 	查閱	c=0 d=2.03676e-17 t=8422
cha yue wen xian 	查閱文獻	c=1 d=2.04697e-16 t=8422
cha zhao 	查找	c=1 d=2.75505e-11 t=8422
chai fen 	拆分	c=0 d=0.000260584 t=8422
chai fen wei 	拆分爲	c=1 d=0.0026189 t=8422
chan pin 	產品	c=2 d=1.8042e-08 t=8422
chan sheng 	產生	c=1 d=0.000675539 t=8422
chang 	常	c=0 d=6.28777e-14 t=8422
chang 	長	c=1 d=0.00125578 t=8422
chang du 	長度	c=1 d=1.15106e-08 t=8422
chang pao 	長跑	c=1 d=1.37853e-12 t=8422
chang pian 	長篇	c=0 d=1.34103e-12 t=8422
chang ren 	常人	c=1 d=1.56586e-11 t=8422
chang shang 	廠商	c=1 d=3.10525e-07 t=8422
chang shi 	嘗試	c=1 d=2.36027e-15 t=8422
chang wei fen 	常微分	c=1 d=6.31929e-13 t=8422
chang yong 	常用	c=1 d=1.08104e-05 t=8422
chao 	朝	c=1 d=2.09808e-12 t=8422
chao 	超	c=0 d=0.0172907 t=8422
chao de 	抄的	c=1 d=3.14512e-10 t=8422
chao feng 	嘲諷	c=0 d=0.0160414 t=8422
chao guo 	超過	c=2 d=0.00424668 t=8422
